iter	Logloss
195	0.6019160779
196	0.6018975949
197	0.6018689428
198	0.6018407363
199	0.6018017827
200	0.6017848509
201	0.6017680326
202	0.6017339426
203	0.6017121378
204	0.6016830587
205	0.6016504451
206	0.6016204922
207	0.6016033461
208	0.601572861
209	0.6015567949
210	0.6015425799
211	0.6015291518
212	0.6014989899
213	0.6014720485
214	0.6014450422
215	0.6014437201
216	0.6014205269
217	0.6013862714
218	0.6013330317
219	0.6013080601
220	0.6012664961
221	0.6012404203
222	0.601230909
223	0.6012151695
224	0.6012029938
225	0.6011917533
226	0.6011600371
227	0.6011422533
228	0.6011141571
229	0.6011097207
230	0.6010831724
231	0.6010577772
232	0.601031155
233	0.6010062583
234	0.6009881624
235	0.6009244122
236	0.6008830158
237	0.6008436348
238	0.6008344193
239	0.6008149548
240	0.6007974445
241	0.6007822153
242	0.6007619468
243	0.6007343606
244	0.6007123689
245	0.6006952183
246	0.6006296641
247	0.600590136
248	0.6005537768
249	0.6005244562
250	0.6004508882
251	0.6004075402
252	0.6003866233
253	0.6003516806
254	0.6002976249
255	0.6002901585
256	0.6002635617
257	0.6002500854
258	0.600229053
259	0.6001926127
260	0.6001892425
261	0.6001554861
262	0.600121142
263	0.6000999527
264	0.6000697052
265	0.6000685868
266	0.6000305
267	0.5999826827
268	0.5999588302
269	0.5999103474
270	0.5998861474
271	0.5998408585
272	0.599827594
273	0.5998049003
274	0.5997638278
275	0.5997468068
276	0.5997140427
277	0.5996823188
278	0.599658359
279	0.5996227215
280	0.5995651409
281	0.5995183071
282	0.5994653735
283	0.5994442091
284	0.5994081464
285	0.5993916936
286	0.5993719167
287	0.5993512974
288	0.5993210272
289	0.5992982998
290	0.5992753246
291	0.599257695
292	0.5992199586
293	0.5991811381
294	0.5991507109
295	0.5991186832
296	0.5990976517
297	0.599048536
298	0.5990087397
299	0.5989914026
300	0.5989519123
301	0.5989132414
302	0.5988738557
303	0.5988331607
304	0.5987867979
305	0.5987463028
306	0.5987191133
307	0.5986982081
308	0.5986801901
309	0.5986454929
310	0.5986179447
311	0.5985878431
312	0.5985650524
313	0.5985575307
314	0.5985086206
315	0.5984970746
316	0.5984655969
317	0.5984543964
318	0.5984358342
319	0.5984156645
320	0.5983759531
321	0.5983450128
322	0.5983263059
323	0.5983071595
324	0.5982772284
325	0.5982509681
326	0.598223571
327	0.5982064229
328	0.5981794578
329	0.5981688575
330	0.5981338145
331	0.598103712
332	0.598080186
333	0.5980290048
334	0.5980137581
335	0.5979915125
336	0.5979530727
337	0.5979132424
338	0.5978970071
339	0.5978552688
340	0.5978391714
341	0.5978211866
342	0.5977919302
343	0.5977484303
344	0.5977362928
345	0.5977254123
346	0.5977154221
347	0.5977045106
348	0.5976734003
349	0.5976324181
350	0.5976062498
351	0.5975624785
352	0.5975234809
353	0.5974923093
354	0.5974890078
355	0.5974618959
356	0.5974226119
357	0.5973731745
358	0.5973222995
359	0.5972920379
360	0.5972661478
361	0.5972470841
362	0.5972166012
363	0.5971907996
364	0.5971708679
365	0.5971375675
366	0.5971237121
367	0.5970943746
368	0.5970716795
369	0.5970588971
370	0.5970252208
371	0.5969821325
372	0.5969632669
373	0.5969198775
374	0.5968985053
375	0.5968830128
376	0.5968736415
377	0.5968612867
378	0.5968263547
379	0.5967850675
380	0.5967600049
381	0.5967585052
382	0.5967161312
383	0.5966931873
384	0.5966778817
385	0.5966659004
386	0.5966372158
387	0.5965967099
388	0.5965829109
389	0.5965652012
390	0.5965369357
391	0.5965094362
392	0.5964758257
393	0.596460692
394	0.5964313647
395	0.5963945911
396	0.5963553034
397	0.5963361892
398	0.5963110925
399	0.5962924549
400	0.5962685913
